StateCode,StateName,Year,Population_(Male),Population_(Female)
1,Jammu And Kashmir,2021,7056000,6408000
2,Himachal Pradesh,2021,3760000,3655000
3,Punjab,2021,15999000,14454000
4,Chandigarh,2021,657000,558000
5,Uttarakhand,2021,5876000,5592000
6,Haryana,2021,15728000,13966000
7,Delhi,2021,11080000,9721000
8,Rajasthan,2021,41009000,38781000
9,Uttar Pradesh,2021,121042000,111259000
10,Bihar,2021,64552000,59602000
11,Sikkim,2021,359000,321000
12,Arunachal Pradesh,2021,792000,748000
13,Nagaland,2021,1137000,1065000
14,Manipur,2021,1596000,1583000
15,Mizoram,2021,616000,605000
16,Tripura,2021,2080000,2010000
17,Meghalaya,2021,1656000,1648000
18,Assam,2021,17938000,17300000
19,West Bengal,2021,50222000,48182000
20,Jharkhand,2021,19845000,18917000
21,Odisha,2021,23083000,22782000
22,Chhattisgarh,2021,14894000,14799000
23,Madhya Pradesh,2021,43907000,41211000
24,Gujarat,2021,36872000,33417000
27,Maharashtra,2021,65004000,60001000
28,Andhra Pradesh,2021,26453000,26441000
29,Karnataka,2021,34037000,33055000
30,Goa,2021,788000,775000
31,Lakshadweep,2021,35000,33000
32,Kerala,2021,17084000,18489000
33,Tamil Nadu,2021,38222000,38314000
34,Puducherry,2021,762000,831000
35,Andaman And Nicobar Islands,2021,212000,189000
36,Telangana,2021,19022000,18794000
37,Ladakh,2021,167000,131000
38,The Dadra And Nagar Haveli And Daman And Diu,2021,734000,398000
